"region","titleType","startYear","Freq","Country","Latitude","Longitude"
"AE","movie","2007",23,"UnitedArabEmirates",24,54
"AE","movie","2019",110,"UnitedArabEmirates",24,54
"AE","movie","1993",6,"UnitedArabEmirates",24,54
"AE","movie","1979",3,"UnitedArabEmirates",24,54
"AE","movie","2004",11,"UnitedArabEmirates",24,54
"AE","movie","2000",20,"UnitedArabEmirates",24,54
"AE","movie","1954",2,"UnitedArabEmirates",24,54
"AE","movie","2010",28,"UnitedArabEmirates",24,54
"AE","movie","2008",26,"UnitedArabEmirates",24,54
"AE","movie","2003",15,"UnitedArabEmirates",24,54
"AE","movie","2011",44,"UnitedArabEmirates",24,54
"AE","movie","2015",37,"UnitedArabEmirates",24,54
"AE","movie","1995",13,"UnitedArabEmirates",24,54
"AE","movie","1964",1,"UnitedArabEmirates",24,54
"AE","movie","2017",94,"UnitedArabEmirates",24,54
"AE","videoGame","2018",1,"UnitedArabEmirates",24,54
"AE","movie","2009",24,"UnitedArabEmirates",24,54
"AE","movie","1999",17,"UnitedArabEmirates",24,54
"AE","movie","1989",3,"UnitedArabEmirates",24,54
"AE","movie","1982",3,"UnitedArabEmirates",24,54
"AE","movie","1971",1,"UnitedArabEmirates",24,54
"AE","tvEpisode","1996",1,"UnitedArabEmirates",24,54
"AF","movie","2020",2,"Afghanistan",33,65
"AF","movie","1972",1,"Afghanistan",33,65
"AF","movie","1981",6,"Afghanistan",33,65
"AF","movie","2002",2,"Afghanistan",33,65
"AF","movie","2010",4,"Afghanistan",33,65
"AF","movie","1984",2,"Afghanistan",33,65
"AF","movie","2004",2,"Afghanistan",33,65
"AF","movie","2012",6,"Afghanistan",33,65
"AF","movie","1969",1,"Afghanistan",33,65
"AF","movie","1986",2,"Afghanistan",33,65
"AF","movie","1989",1,"Afghanistan",33,65
"AF","movie","2014",4,"Afghanistan",33,65
"AF","movie","1990",1,"Afghanistan",33,65
"AF","movie","2013",5,"Afghanistan",33,65
"AF","movie","1980",1,"Afghanistan",33,65
"AF","movie","1987",2,"Afghanistan",33,65
"AF","videoGame","1994",1,"Afghanistan",33,65
"AF","movie","1974",3,"Afghanistan",33,65
"AF","movie","2021",2,"Afghanistan",33,65
"AF","movie","1968",1,"Afghanistan",33,65
"AF","movie","1985",1,"Afghanistan",33,65
"AF","movie","2008",2,"Afghanistan",33,65
"AF","movie","2017",8,"Afghanistan",33,65
"AF","movie","2016",3,"Afghanistan",33,65
"AF","movie","2018",7,"Afghanistan",33,65
"AF","movie","2006",3,"Afghanistan",33,65
"AF","movie","2007",1,"Afghanistan",33,65
"AF","movie","2009",1,"Afghanistan",33,65
"AF","movie","1976",1,"Afghanistan",33,65
"AF","movie","1978",2,"Afghanistan",33,65
"AF","movie","2011",5,"Afghanistan",33,65
"AF","movie","2015",4,"Afghanistan",33,65
"AF","movie","1983",2,"Afghanistan",33,65
"AF","movie","1995",1,"Afghanistan",33,65
"AF","movie","2019",3,"Afghanistan",33,65
"AF","movie","2003",4,"Afghanistan",33,65
"AG","movie","2002",1,"AntiguaAndBarbuda",17.05,-61.8
"AG","movie","2016",1,"AntiguaAndBarbuda",17.05,-61.8
"AG","movie","2015",2,"AntiguaAndBarbuda",17.05,-61.8
"AG","movie","2006",1,"AntiguaAndBarbuda",17.05,-61.8
"AG","movie","2017",1,"AntiguaAndBarbuda",17.05,-61.8
"AG","movie","2011",2,"AntiguaAndBarbuda",17.05,-61.8
"AG","movie","2012",1,"AntiguaAndBarbuda",17.05,-61.8
"AG","movie","2013",1,"AntiguaAndBarbuda",17.05,-61.8
"AG","movie","2001",1,"AntiguaAndBarbuda",17.05,-61.8
"AG","movie","2010",1,"AntiguaAndBarbuda",17.05,-61.8
"AL","movie","1977",36,"Albania",41,20
"AL","movie","2005",6,"Albania",41,20
"AL","movie","1968",26,"Albania",41,20
"AL","movie","2014",36,"Albania",41,20
"AL","movie","1963",19,"Albania",41,20
"AL","movie","2017",23,"Albania",41,20
"AL","movie","1999",3,"Albania",41,20
"AL","movie","1990",13,"Albania",41,20
"AL","movie","2020",10,"Albania",41,20
"AL","movie","1996",5,"Albania",41,20
"AL","movie","1981",31,"Albania",41,20
"AL","movie","2013",11,"Albania",41,20
"AL","movie","1957",7,"Albania",41,20
"AL","movie","1959",11,"Albania",41,20
"AL","movie","1991",3,"Albania",41,20
"AL","movie","2008",13,"Albania",41,20
"AL","movie","1987",21,"Albania",41,20
"AL","movie","1960",9,"Albania",41,20
"AL","movie","2009",10,"Albania",41,20
"AL","movie","1967",13,"Albania",41,20
"AL","movie","2003",13,"Albania",41,20
"AL","movie","2000",4,"Albania",41,20
"AL","movie","1950",2,"Albania",41,20
"AL","movie","2015",36,"Albania",41,20
"AL","movie","1988",21,"Albania",41,20
"AL","movie","1969",20,"Albania",41,20
"AL","movie","1976",38,"Albania",41,20
"AL","movie","2016",36,"Albania",41,20
"AL","movie","2010",9,"Albania",41,20
"AL","movie","1983",31,"Albania",41,20
"AL","movie","1984",37,"Albania",41,20
"AL","movie","2018",29,"Albania",41,20
"AL","movie","1971",31,"Albania",41,20
"AL","movie","1972",33,"Albania",41,20
"AL","movie","1973",19,"Albania",41,20
"AL","movie","2011",16,"Albania",41,20
"AL","movie","1951",2,"Albania",41,20
"AL","movie","1982",20,"Albania",41,20
"AL","movie","1980",40,"Albania",41,20
"AL","movie","2002",4,"Albania",41,20
"AL","movie","1978",32,"Albania",41,20
"AL","movie","1979",26,"Albania",41,20
"AL","movie","1995",11,"Albania",41,20
"AL","movie","1964",14,"Albania",41,20
"AL","movie","2007",9,"Albania",41,20
"AL","movie","2022",2,"Albania",41,20
"AL","movie","1958",12,"Albania",41,20
"AL","movie","1993",8,"Albania",41,20
"AL","movie","1985",28,"Albania",41,20
"AL","movie","1955",4,"Albania",41,20
"AL","movie","2019",28,"Albania",41,20
"AL","movie","2004",7,"Albania",41,20
"AL","movie","2001",8,"Albania",41,20
"AL","movie","1970",26,"Albania",41,20
"AL","movie","1954",3,"Albania",41,20
"AL","movie","1997",6,"Albania",41,20
"AL","movie","1953",5,"Albania",41,20
"AL","movie","1974",35,"Albania",41,20
"AL","movie","1998",11,"Albania",41,20
"AL","movie","1992",5,"Albania",41,20
"AL","movie","1989",10,"Albania",41,20
"AL","movie","1952",4,"Albania",41,20
"AL","movie","1962",3,"Albania",41,20
"AL","movie","2012",19,"Albania",41,20
"AL","movie","1961",14,"Albania",41,20
"AL","movie","1994",6,"Albania",41,20
"AL","movie","2021",14,"Albania",41,20
"AL","movie","1975",41,"Albania",41,20
"AL","videoGame","2018",1,"Albania",41,20
"AL","movie","2006",1,"Albania",41,20
"AL","movie","1956",11,"Albania",41,20
"AL","movie","1966",20,"Albania",41,20
"AL","movie","1965",12,"Albania",41,20
"AL","movie","1986",22,"Albania",41,20
"AM","movie","1978",3,"Armenia",40,45
"AM","movie","1977",2,"Armenia",40,45
"AM","movie","1981",1,"Armenia",40,45
"AM","tvEpisode","2013",1,"Armenia",40,45
"AM","movie","1966",1,"Armenia",40,45
"AM","movie","1994",2,"Armenia",40,45
"AM","movie","1969",2,"Armenia",40,45
"AM","movie","1967",1,"Armenia",40,45
"AM","movie","2008",7,"Armenia",40,45
"AM","movie","2000",3,"Armenia",40,45
"AM","tvEpisode","2017",3,"Armenia",40,45
"AM","movie","1962",1,"Armenia",40,45
"AM","movie","2012",7,"Armenia",40,45
"AM","movie","1996",3,"Armenia",40,45
"AM","movie","2010",12,"Armenia",40,45
"AM","movie","2014",17,"Armenia",40,45
"AM","movie","1993",4,"Armenia",40,45
"AM","movie","1965",1,"Armenia",40,45
"AM","movie","1990",1,"Armenia",40,45
"AM","movie","1984",1,"Armenia",40,45
"AM","movie","2004",3,"Armenia",40,45
"AM","movie","1992",8,"Armenia",40,45
"AM","movie","2021",5,"Armenia",40,45
"AM","movie","1979",1,"Armenia",40,45
"AM","movie","2003",3,"Armenia",40,45
"AM","movie","1970",1,"Armenia",40,45
"AM","movie","2018",10,"Armenia",40,45
"AM","movie","2001",5,"Armenia",40,45
"AM","movie","2006",3,"Armenia",40,45
"AM","movie","2013",12,"Armenia",40,45
"AM","movie","2020",10,"Armenia",40,45
"AM","movie","1972",2,"Armenia",40,45
"AM","movie","2011",13,"Armenia",40,45
"AM","movie","1997",2,"Armenia",40,45
"AM","movie","1971",2,"Armenia",40,45
"AM","movie","2005",3,"Armenia",40,45
"AM","movie","1998",4,"Armenia",40,45
"AM","movie","2019",13,"Armenia",40,45
"AM","movie","1989",1,"Armenia",40,45
"AM","movie","2002",3,"Armenia",40,45
"AM","movie","2007",7,"Armenia",40,45
"AM","movie","1995",2,"Armenia",40,45
"AM","movie","2009",12,"Armenia",40,45
"AM","movie","2015",21,"Armenia",40,45
"AM","movie","2016",20,"Armenia",40,45
"AM","movie","2017",13,"Armenia",40,45
"AM","movie","1999",3,"Armenia",40,45
"AM","movie","1991",3,"Armenia",40,45
"AN","tvEpisode","2004",1,"NetherlandsAntilles",12.25,-68.75
"AN","movie","2011",1,"NetherlandsAntilles",12.25,-68.75
"AN","movie","2020",2,"NetherlandsAntilles",12.25,-68.75
"AN","movie","2018",1,"NetherlandsAntilles",12.25,-68.75
"AN","movie","2009",1,"NetherlandsAntilles",12.25,-68.75
"AN","movie","2013",3,"NetherlandsAntilles",12.25,-68.75
"AO","movie","2019",2,"Angola",-12.5,18.5
"AO","movie","1977",3,"Angola",-12.5,18.5
"AO","movie","2009",1,"Angola",-12.5,18.5
"AO","movie","1970",1,"Angola",-12.5,18.5
"AO","movie","1981",1,"Angola",-12.5,18.5
"AO","movie","1997",1,"Angola",-12.5,18.5
"AO","movie","2017",3,"Angola",-12.5,18.5
"AO","movie","1998",2,"Angola",-12.5,18.5
"AO","movie","2004",2,"Angola",-12.5,18.5
"AO","movie","1972",1,"Angola",-12.5,18.5
"AO","movie","2010",4,"Angola",-12.5,18.5
"AO","movie","2016",3,"Angola",-12.5,18.5
"AO","movie","2013",2,"Angola",-12.5,18.5
"AO","movie","2008",1,"Angola",-12.5,18.5
"AO","movie","1991",1,"Angola",-12.5,18.5
"AO","movie","1989",2,"Angola",-12.5,18.5
"AO","tvEpisode","2000",1,"Angola",-12.5,18.5
"AO","movie","1978",1,"Angola",-12.5,18.5
"AO","movie","2012",5,"Angola",-12.5,18.5
"AO","movie","1982",3,"Angola",-12.5,18.5
"AO","movie","1980",1,"Angola",-12.5,18.5
"AO","movie","2015",2,"Angola",-12.5,18.5
"AO","movie","2007",1,"Angola",-12.5,18.5
"AO","movie","2018",1,"Angola",-12.5,18.5
"AO","movie","2020",2,"Angola",-12.5,18.5
"AQ","movie","2013",1,"Antarctica",-90,0
"AQ","videoGame","2020",1,"Antarctica",-90,0
"AQ","movie","2012",1,"Antarctica",-90,0
"AR","tvEpisode","1962",22,"Argentina",-34,-64
"AR","movie","2015",589,"Argentina",-34,-64
"AR","tvEpisode","2015",609,"Argentina",-34,-64
"AR","tvEpisode","1986",7,"Argentina",-34,-64
"AR","tvEpisode","1959",6,"Argentina",-34,-64
"AR","movie","1963",196,"Argentina",-34,-64
"AR","videoGame","2019",2,"Argentina",-34,-64
"AR","movie","1955",238,"Argentina",-34,-64
"AR","tvEpisode","2019",208,"Argentina",-34,-64
"AR","movie","2024",1,"Argentina",-34,-64
"AR","movie","2013",564,"Argentina",-34,-64
"AR","tvEpisode","2013",475,"Argentina",-34,-64
"AR","movie","2010",568,"Argentina",-34,-64
"AR","movie","1981",210,"Argentina",-34,-64
"AR","movie","1977",209,"Argentina",-34,-64
"AR","movie","1984",228,"Argentina",-34,-64
"AR","movie","1993",291,"Argentina",-34,-64
"AR","movie","2019",686,"Argentina",-34,-64
"AR","tvEpisode","1999",55,"Argentina",-34,-64
"AR","movie","1990",289,"Argentina",-34,-64
"AR","movie","1996",372,"Argentina",-34,-64
"AR","movie","1979",201,"Argentina",-34,-64
"AR","tvEpisode","1976",13,"Argentina",-34,-64
"AR","movie","1988",312,"Argentina",-34,-64
"AR","tvEpisode","2018",296,"Argentina",-34,-64
"AR","movie","1967",216,"Argentina",-34,-64
"AR","movie","1959",235,"Argentina",-34,-64
"AR","movie","1987",300,"Argentina",-34,-64
"AR","movie","2000",419,"Argentina",-34,-64
"AR","movie","1969",248,"Argentina",-34,-64
"AR","movie","1951",199,"Argentina",-34,-64
"AR","movie","2023",7,"Argentina",-34,-64
"AR","movie","1999",425,"Argentina",-34,-64
"AR","movie","2017",641,"Argentina",-34,-64
"AR","movie","1968",218,"Argentina",-34,-64
"AR","tvEpisode","1996",22,"Argentina",-34,-64
"AR","movie","1989",281,"Argentina",-34,-64
"AR","movie","2011",539,"Argentina",-34,-64
"AR","tvEpisode","1980",6,"Argentina",-34,-64
"AR","tvEpisode","1961",8,"Argentina",-34,-64
"AR","tvEpisode","1992",62,"Argentina",-34,-64
"AR","movie","1985",243,"Argentina",-34,-64
"AR","tvEpisode","1982",149,"Argentina",-34,-64
"AR","tvEpisode","1974",105,"Argentina",-34,-64
"AR","tvEpisode","2001",50,"Argentina",-34,-64
"AR","movie","1950",187,"Argentina",-34,-64
"AR","movie","1991",283,"Argentina",-34,-64
"AR","tvEpisode","1984",4,"Argentina",-34,-64
"AR","movie","1980",219,"Argentina",-34,-64
"AR","movie","2004",570,"Argentina",-34,-64
"AR","videoGame","2006",2,"Argentina",-34,-64
"AR","tvEpisode","2021",36,"Argentina",-34,-64
"AR","tvEpisode","2000",50,"Argentina",-34,-64
"AR","movie","2014",632,"Argentina",-34,-64
"AR","movie","2022",48,"Argentina",-34,-64
"AR","tvEpisode","1970",98,"Argentina",-34,-64
"AR","videoGame","1983",1,"Argentina",-34,-64
"AR","movie","2020",575,"Argentina",-34,-64
"AR","movie","2002",485,"Argentina",-34,-64
"AR","tvEpisode","1998",33,"Argentina",-34,-64
"AR","movie","1954",243,"Argentina",-34,-64
"AR","movie","2009",731,"Argentina",-34,-64
"AR","movie","1961",221,"Argentina",-34,-64
"AR","movie","1995",324,"Argentina",-34,-64
"AR","movie","1960",255,"Argentina",-34,-64
"AR","movie","2016",674,"Argentina",-34,-64
"AR","movie","1964",220,"Argentina",-34,-64
"AR","tvEpisode","2005",290,"Argentina",-34,-64
"AR","videoGame","1991",1,"Argentina",-34,-64
"AR","movie","1975",204,"Argentina",-34,-64
"AR","tvEpisode","2006",361,"Argentina",-34,-64
"AR","tvEpisode","1971",118,"Argentina",-34,-64
"AR","videoGame","2020",4,"Argentina",-34,-64
"AR","tvEpisode","1994",122,"Argentina",-34,-64
"AR","movie","2001",490,"Argentina",-34,-64
"AR","movie","1976",210,"Argentina",-34,-64
"AR","videoGame","2009",3,"Argentina",-34,-64
"AR","tvEpisode","1969",5,"Argentina",-34,-64
"AR","movie","1958",232,"Argentina",-34,-64
"AR","videoGame","2013",4,"Argentina",-34,-64
"AR","tvEpisode","1993",52,"Argentina",-34,-64
"AR","videoGame","2004",1,"Argentina",-34,-64
"AR","movie","1971",275,"Argentina",-34,-64
"AR","movie","1952",197,"Argentina",-34,-64
"AR","tvEpisode","1967",4,"Argentina",-34,-64
"AR","tvEpisode","1985",18,"Argentina",-34,-64
"AR","tvEpisode","2004",113,"Argentina",-34,-64
"AR","movie","1997",368,"Argentina",-34,-64
"AR","tvEpisode","1981",149,"Argentina",-34,-64
"AR","tvEpisode","2014",619,"Argentina",-34,-64
"AR","movie","1962",241,"Argentina",-34,-64
"AR","tvEpisode","1968",4,"Argentina",-34,-64
"AR","tvEpisode","2002",94,"Argentina",-34,-64
"AR","tvEpisode","1983",30,"Argentina",-34,-64
"AR","tvEpisode","1979",20,"Argentina",-34,-64
"AR","movie","1978",243,"Argentina",-34,-64
"AR","movie","2005",644,"Argentina",-34,-64
"AR","videoGame","2012",1,"Argentina",-34,-64
"AR","tvEpisode","1975",22,"Argentina",-34,-64
"AR","tvEpisode","2020",160,"Argentina",-34,-64
"AR","tvEpisode","1960",14,"Argentina",-34,-64
"AR","tvEpisode","2008",420,"Argentina",-34,-64
"AR","tvEpisode","1987",9,"Argentina",-34,-64
"AR","tvEpisode","1973",123,"Argentina",-34,-64
"AR","videoGame","1982",3,"Argentina",-34,-64
"AR","tvEpisode","2009",474,"Argentina",-34,-64
"AR","tvEpisode","1990",50,"Argentina",-34,-64
"AR","movie","2018",715,"Argentina",-34,-64
"AR","tvEpisode","1988",5,"Argentina",-34,-64
"AR","tvEpisode","1991",34,"Argentina",-34,-64
"AR","tvEpisode","1997",15,"Argentina",-34,-64
"AR","tvEpisode","1995",42,"Argentina",-34,-64
"AR","movie","1972",235,"Argentina",-34,-64
"AR","movie","1983",183,"Argentina",-34,-64
"AR","tvEpisode","2016",611,"Argentina",-34,-64
"AR","movie","2012",564,"Argentina",-34,-64
"AR","tvEpisode","1978",1,"Argentina",-34,-64
"AR","movie","1992",272,"Argentina",-34,-64
"AR","tvEpisode","1989",18,"Argentina",-34,-64
"AR","tvEpisode","2003",49,"Argentina",-34,-64
"AR","videoGame","2016",9,"Argentina",-34,-64
"AR","movie","1956",225,"Argentina",-34,-64
"AR","movie","2003",455,"Argentina",-34,-64
"AR","movie","1970",285,"Argentina",-34,-64
"AR","tvEpisode","1977",1,"Argentina",-34,-64
"AR","movie","1982",225,"Argentina",-34,-64
"AR","movie","1994",305,"Argentina",-34,-64
"AR","tvEpisode","1972",63,"Argentina",-34,-64
"AR","videoGame","1979",1,"Argentina",-34,-64
"AR","movie","1973",230,"Argentina",-34,-64
"AR","movie","1957",271,"Argentina",-34,-64
"AR","tvEpisode","2010",535,"Argentina",-34,-64
"AR","tvEpisode","2011",792,"Argentina",-34,-64
"AR","movie","2006",714,"Argentina",-34,-64
"AR","tvEpisode","2007",128,"Argentina",-34,-64
"AR","tvEpisode","2017",458,"Argentina",-34,-64
"AR","tvEpisode","2012",817,"Argentina",-34,-64
"AR","videoGame","2017",4,"Argentina",-34,-64
"AR","movie","2007",625,"Argentina",-34,-64
"AR","videoGame","2018",1,"Argentina",-34,-64
"AR","movie","2008",712,"Argentina",-34,-64
"AR","movie","1965",213,"Argentina",-34,-64
"AR","movie","1953",240,"Argentina",-34,-64
"AR","videoGame","2021",6,"Argentina",-34,-64
"AR","movie","1998",418,"Argentina",-34,-64
"AR","videoGame","2015",4,"Argentina",-34,-64
"AR","movie","1986",283,"Argentina",-34,-64
"AR","movie","1974",208,"Argentina",-34,-64
"AR","movie","1966",215,"Argentina",-34,-64
"AR","movie","2021",459,"Argentina",-34,-64
"AS","movie","2013",1,"AmericanSamoa",-14.3333,-170
"AS","movie","2015",1,"AmericanSamoa",-14.3333,-170
"AT","movie","1959",175,"Austria",47.3333,13.3333
"AT","movie","1987",74,"Austria",47.3333,13.3333
"AT","videoGame","2019",1,"Austria",47.3333,13.3333
"AT","tvEpisode","1999",17,"Austria",47.3333,13.3333
"AT","movie","1979",40,"Austria",47.3333,13.3333
"AT","videoGame","2001",6,"Austria",47.3333,13.3333
"AT","videoGame","2007",4,"Austria",47.3333,13.3333
"AT","movie","1981",52,"Austria",47.3333,13.3333
"AT","tvEpisode","2013",63,"Austria",47.3333,13.3333
"AT","movie","2019",537,"Austria",47.3333,13.3333
"AT","tvEpisode","1964",1,"Austria",47.3333,13.3333
"AT","videoGame","2010",3,"Austria",47.3333,13.3333
"AT","videoGame","1994",3,"Austria",47.3333,13.3333
"AT","movie","1951",271,"Austria",47.3333,13.3333
"AT","movie","1969",75,"Austria",47.3333,13.3333
"AT","movie","1989",93,"Austria",47.3333,13.3333
"AT","movie","2010",95,"Austria",47.3333,13.3333
"AT","movie","1984",66,"Austria",47.3333,13.3333
"AT","movie","1955",319,"Austria",47.3333,13.3333
"AT","tvEpisode","2019",148,"Austria",47.3333,13.3333
"AT","movie","1977",52,"Austria",47.3333,13.3333
"AT","tvEpisode","1994",4,"Austria",47.3333,13.3333
"AT","movie","1990",108,"Austria",47.3333,13.3333
"AT","videoGame","2020",3,"Austria",47.3333,13.3333
"AT","movie","1988",92,"Austria",47.3333,13.3333
"AT","movie","2014",121,"Austria",47.3333,13.3333
"AT","movie","1995",115,"Austria",47.3333,13.3333
"AT","videoGame","2011",3,"Austria",47.3333,13.3333
"AT","videoGame","1986",1,"Austria",47.3333,13.3333
"AT","movie","1993",115,"Austria",47.3333,13.3333
"AT","movie","2011",96,"Austria",47.3333,13.3333
"AT","tvEpisode","1996",13,"Austria",47.3333,13.3333
"AT","movie","2018",495,"Austria",47.3333,13.3333
"AT","videoGame","2022",1,"Austria",47.3333,13.3333
"AT","movie","2017",513,"Austria",47.3333,13.3333
"AT","tvEpisode","1974",1,"Austria",47.3333,13.3333
"AT","movie","1991",86,"Austria",47.3333,13.3333
"AT","tvEpisode","1976",5,"Austria",47.3333,13.3333
"AT","movie","1950",280,"Austria",47.3333,13.3333
"AT","tvEpisode","1971",23,"Austria",47.3333,13.3333
"AT","movie","1996",71,"Austria",47.3333,13.3333
"AT","tvEpisode","1985",3,"Austria",47.3333,13.3333
"AT","movie","2005",108,"Austria",47.3333,13.3333
"AT","movie","2004",123,"Austria",47.3333,13.3333
"AT","tvEpisode","2000",21,"Austria",47.3333,13.3333
"AT","movie","1999",75,"Austria",47.3333,13.3333
"AT","movie","1976",64,"Austria",47.3333,13.3333
"AT","tvEpisode","2001",23,"Austria",47.3333,13.3333
"AT","tvEpisode","1998",8,"Austria",47.3333,13.3333
"AT","tvEpisode","1981",19,"Austria",47.3333,13.3333
"AT","tvEpisode","1980",18,"Austria",47.3333,13.3333
"AT","movie","1954",310,"Austria",47.3333,13.3333
"AT","tvEpisode","1963",1,"Austria",47.3333,13.3333
"AT","tvEpisode","2005",31,"Austria",47.3333,13.3333
"AT","tvEpisode","1967",2,"Austria",47.3333,13.3333
"AT","videoGame","1990",1,"Austria",47.3333,13.3333
"AT","movie","1982",42,"Austria",47.3333,13.3333
"AT","tvEpisode","1961",3,"Austria",47.3333,13.3333
"AT","movie","1968",79,"Austria",47.3333,13.3333
"AT","movie","1997",77,"Austria",47.3333,13.3333
"AT","movie","2023",4,"Austria",47.3333,13.3333
"AT","videoGame","1985",1,"Austria",47.3333,13.3333
"AT","tvEpisode","1966",1,"Austria",47.3333,13.3333
"AT","videoGame","2006",2,"Austria",47.3333,13.3333
"AT","movie","2022",13,"Austria",47.3333,13.3333
"AT","movie","1957",223,"Austria",47.3333,13.3333
"AT","movie","2016",326,"Austria",47.3333,13.3333
"AT","tvEpisode","2006",36,"Austria",47.3333,13.3333
"AT","movie","2003",121,"Austria",47.3333,13.3333
"AT","videoGame","1998",2,"Austria",47.3333,13.3333
"AT","tvEpisode","2017",160,"Austria",47.3333,13.3333
"AT","movie","2009",84,"Austria",47.3333,13.3333
"AT","tvEpisode","1968",1,"Austria",47.3333,13.3333
"AT","tvEpisode","1991",2,"Austria",47.3333,13.3333
"AT","tvEpisode","2014",88,"Austria",47.3333,13.3333
"AT","movie","1952",291,"Austria",47.3333,13.3333
"AT","movie","2013",132,"Austria",47.3333,13.3333
"AT","movie","2015",180,"Austria",47.3333,13.3333
"AT","tvEpisode","1990",5,"Austria",47.3333,13.3333
"AT","videoGame","2003",3,"Austria",47.3333,13.3333
"AT","tvEpisode","1979",20,"Austria",47.3333,13.3333
"AT","tvEpisode","1986",5,"Austria",47.3333,13.3333
"AT","movie","1958",190,"Austria",47.3333,13.3333
"AT","movie","1967",104,"Austria",47.3333,13.3333
"AT","movie","1963",113,"Austria",47.3333,13.3333
"AT","tvEpisode","2004",24,"Austria",47.3333,13.3333
"AT","movie","2002",164,"Austria",47.3333,13.3333
"AT","videoGame","1999",3,"Austria",47.3333,13.3333
"AT","tvEpisode","1987",10,"Austria",47.3333,13.3333
"AT","movie","2001",122,"Austria",47.3333,13.3333
"AT","movie","2012",115,"Austria",47.3333,13.3333
"AT","movie","2008",83,"Austria",47.3333,13.3333
"AT","tvEpisode","2021",35,"Austria",47.3333,13.3333
"AT","tvEpisode","1993",2,"Austria",47.3333,13.3333
"AT","tvEpisode","2018",203,"Austria",47.3333,13.3333
"AT","tvEpisode","1982",19,"Austria",47.3333,13.3333
"AT","tvEpisode","2016",373,"Austria",47.3333,13.3333
"AT","videoGame","2002",6,"Austria",47.3333,13.3333
"AT","movie","1972",52,"Austria",47.3333,13.3333
"AT","videoGame","2008",3,"Austria",47.3333,13.3333
"AT","tvEpisode","1995",6,"Austria",47.3333,13.3333
"AT","tvEpisode","2020",89,"Austria",47.3333,13.3333
"AT","videoGame","1993",2,"Austria",47.3333,13.3333
"AT","tvEpisode","2008",25,"Austria",47.3333,13.3333
"AT","movie","2006",86,"Austria",47.3333,13.3333
"AT","movie","1994",110,"Austria",47.3333,13.3333
"AT","videoGame","2013",2,"Austria",47.3333,13.3333
"AT","movie","1970",62,"Austria",47.3333,13.3333
